0054,1,0,1
0055,1,0,1
0056,1,0,1
0057,1,0,1
0058,1,0,1
0059,1,0,1
005A,1,0,1
005B,1,0,1
005C,1,0,1
005D,1,0,1
005E,1,0,1
005F,1,0,1
0060,1,0,1
0061,1,0,1
0062,1,0,1
0063,1,0,1
0064,1,0,1
0065,1,0,1
0066,1,0,1
0067,1,0,1
0068,1,0,1
0069,1,0,1
006A,1,0,1
006B,1,0,1
006C,1,0,1
006D,1,0,1
006E,1,0,1
006F,1,0,1
0070,2,0,1
0071,2,0,1
0072,2,0,1
0073,2,0,1
0074,2,0,1
0075,2,0,1
0076,2,0,1
0077,2,0,1
0078,2,0,1
0079,2,0,1
007A,2,0,1
007B,2,0,1
007C,2,0,1
007D,2,0,1
007E,2,0,1
007F,2,0,1
0080,2,0,1
0081,2,0,1
0082,2,0,1
0083,2,0,1
0084,2,0,1
0085,2,0,1
0086,2,0,1
0087,2,0,1
0088,2,0,1
0089,2,0,1
008A,2,0,1
008B,2,0,1
008C,3,0,1
008D,3,0,1
008E,3,0,1
008F,3,0,1
0090,3,0,1
0091,3,0,1
0092,3,0,1
0093,3,0,1
0094,3,0,1
0095,3,0,1
0096,3,0,1
0097,3,0,1
0098,3,0,1
0099,3,0,1
009A,3,0,1
009B,3,0,1
009C,3,0,1
009D,3,0,1
009E,3,0,1
009F,3,0,1
00A0,3,0,1
00A1,3,0,1
00A2,3,0,1
00A3,3,0,1
00A4,3,0,1
00A5,3,0,1
00A6,3,0,1
00A7,3,0,1
00A8,4,0,1
00A9,4,0,1
00AA,4,0,1
00AB,4,0,1
00AC,4,0,1
00AD,4,0,1
00AE,4,0,1
00AF,4,0,1
00B0,4,0,1
00B1,4,0,1
00B2,4,0,1
00B3,4,0,1
00B4,4,0,1
00B5,4,0,1
00B6,4,0,1
00B7,4,0,1
00B8,4,0,1
00B9,4,0,1
00BA,4,0,1
00BB,4,0,1
00BC,4,0,1
00BD,4,0,1
00BE,4,0,1
00BF,4,0,1
00C0,4,0,1
00C1,4,0,1
00C2,4,0,1
00C3,4,0,1
00C4,5,0,1
00C5,5,0,1
00C6,5,0,1
00C7,5,0,1
00C8,5,0,1
00C9,5,0,1
00CA,5,0,1
00CB,5,0,1
00CC,5,0,1
00CD,5,0,1
00CE,5,0,1
00CF,5,0,1
00D0,5,0,1
00D1,5,0,1
00D2,5,0,1
00D3,5,0,1
00D4,5,0,1
00D5,5,0,1
00D6,5,0,1
00D7,5,0,1
00D8,5,0,1
00D9,5,0,1
00DA,5,0,1
00DB,5,0,1
00DC,5,0,1
00DD,5,0,1
00DE,5,0,1
00DF,5,0,1
00E0,6,0,1
00E1,6,0,1
00E2,6,0,1
00E3,6,0,1
00E4,6,0,1
00E5,6,0,1
00E6,6,0,1
00E7,6,0,1
00E8,6,0,1
00E9,6,0,1
00EA,6,0,1
00EB,6,0,1
00EC,6,0,1
00ED,6,0,1
00EE,6,0,1
00EF,6,0,1
00F0,6,0,1
00F1,6,0,1
00F2,6,0,1
00F3,6,0,1
00F4,6,0,1
00F5,6,0,1
00F6,6,0,1
00F7,6,0,1
00F8,6,0,1
00F9,6,0,1
00FA,6,0,1
00FB,6,0,1
00FC,7,0,1
00FD,7,0,1
00FE,7,0,1
00FF,7,0,1
0100,7,0,1
0101,7,0,1
0102,7,0,1
0103,7,0,1
0104,7,0,1
0105,7,0,1
0106,7,0,1
0107,7,0,1
0108,7,0,1
0109,7,0,1
010A,7,0,1
010B,7,0,1
010C,7,0,1
010D,7,0,1
010E,7,0,1
010F,7,0,1
0110,7,0,1
0111,7,0,1
0112,7,0,1
0113,7,0,1
0114,7,0,1
0115,7,0,1
0116,7,0,1
0117,7,0,1
0118,8,0,1
0119,8,0,1
011A,8,0,1
011B,8,0,1
011C,8,0,1
011D,8,0,1
011E,8,0,1
011F,8,0,1
0120,8,0,1
0121,8,0,1
0122,8,0,1
0123,8,0,1
0124,8,0,1
0125,8,0,1
0126,8,0,1
0127,8,0,1
0128,8,0,1
0129,8,0,1
012A,8,0,1
012B,8,0,1
012C,8,0,1
012D,8,0,1
012E,8,0,1
012F,8,0,1
0130,8,0,1
0131,8,0,1
0132,8,0,1
0133,8,0,1
127A,1,1,0
127B,1,1,0
127C,1,1,0
127D,1,1,0
127E,1,1,0
127F,1,1,0
1280,1,1,0
1281,1,1,0
1282,1,1,0
1283,1,1,0
1284,2,1,0
1285,2,1,0
1286,2,1,0
1287,2,1,0
1288,2,1,0
1289,2,1,0
128A,2,1,0
128B,2,1,0
128C,2,1,0
128D,2,1,0
128E,3,1,0
128F,3,1,0
1290,3,1,0
1291,3,1,0
1292,3,1,0
1293,3,1,0
1294,3,1,0
1295,3,1,0
1296,3,1,0
1297,3,1,0
1298,4,1,0
1299,4,1,0
129A,4,1,0
129B,4,1,0
129C,4,1,0
129D,4,1,0
129E,4,1,0
129F,4,1,0
12A0,4,1,0
12A1,4,1,0
12A2,5,1,0
12A3,5,1,0
12A4,5,1,0
12A5,5,1,0
12A6,5,1,0
12A7,5,1,0
12A8,5,1,0
12A9,5,1,0
12AA,5,1,0
12AB,5,1,0
12AC,6,1,0
12AD,6,1,0
12AE,6,1,0
12AF,6,1,0
12B0,6,1,0
12B1,6,1,0
12B2,6,1,0
12B3,6,1,0
12B4,6,1,0
12B5,6,1,0
12B6,7,1,0
12B7,7,1,0
12B8,7,1,0
12B9,7,1,0
12BA,7,1,0
12BB,7,1,0
12BC,7,1,0
12BD,7,1,0
12BE,7,1,0
12BF,7,1,0
12C0,8,1,0
12C1,8,1,0
12C2,8,1,0
12C3,8,1,0
12C4,8,1,0
12C5,8,1,0
12C6,8,1,0
12C7,8,1,0
12C8,8,1,0
12C9,8,1,0
